motVedette;nbSyll;origin;sampa;ipa
heiress;2;_h_eiʹreſs;E r\ @ s;ɛɹəs
helicon;3;hĕʹlĭcon;h E l i k A n;hɛlikɑn
hell;1;hĕll;h E l;hɛl
hellenism;3;hĕllĕniſm;h E l @ n I z @ m;hɛlənɪzəm
hellespont;3;hĕllĕſpont;h E l s p A n t;hɛlspɑnt
helm;1;hĕlm;h E l m;hɛlm
helmet;2;hĕʹlmet;h E l m @ t;hɛlmət
help;1;hĕlp;h E l p;hɛlp
helpless;2;hĕʹlpleſs;h E l p l @ s;hɛlpləs
hem;1;hĕm;h E m;hɛm
hemisphere;3;hĕʹmĭſphēre;h E m i s f I r\;hɛmisfɪɹ
hemorrhage;3;hĕʹmŏrr_h_āge;h E m 3:r i dZ;hɛmɜ:ri?
hemp;1;hĕmp;h E m p;hɛmp
hen;1;hen;h E n;hɛn
henbane;2;hĕʹnbāne;h E n b eI n;hɛnb?n
henceforth;2;hĕʹnc_e_forth.;h E n s f O: r\ T;hɛnsfOːɹθ
henceforward;3;hĕnc_e_fŏʹrward;h E n s f O: r\ w 3:r d;hɛnsfOːɹwɜ:rd
hepatic;3;hepăʹtic;h @ p { 4 i k;həpæɾik
herald;2;hĕʹrăld;h E r\ @ l d;hɛɹəld
heraldry;3;hĕʹrăldry;h E r\ @ l d r\ i:;hɛɹəldɹiː
herb;1;_h_ĕrb;3:r b;ɜ:rb
herbal;2;_h_ĕʹrbal;3:r b @ l;ɜ:rbəl
herbalist;3;_h_ĕʹrbălĭſt;3:r b @ l @ s t;ɜ:rbələst
herculean;4;hĕrcūʹlėȧn;h 3:r k j u l i: @ n;hɜ:rkjuliːən
hercules;3;hĕʹrcūlès;h 3:r k j @ l i: z;hɜ:rkjəliːz
herd;1;hĕrd;h 3:r d;hɜ:rd
hereafter;3;hēr_e_ăʹft_e_r;h i r\ { f t 3:r;hiɹæftɜ:r
hereditary;5;herĕʹdĭtăry;h 3:r E 4 @ t E r\ i:;hɜ:rɛɾətɛɹiː
heresy;3;hĕʹrĕſy;h E r\ @ s i:;hɛɹəsiː
heretical;4;herĕʹtĭcal;h 3:r E 4 i k @ l;hɜ:rɛɾikəl
heretic;3;hĕrĕʹtic;h E r\ @ 4 i k;hɛɹəɾik
heritage;3;hĕʹrĭtage;h E r\ @ 4 @ dZ;hɛɹəɾə?
hermaphrodite;4;hĕrmăʹphrŏdīte;h 3:r m { f r\ @ d aI t;hɜ:rmæfɹəd?t
hermes;2;hĕʹrmes;h 3:r m i: z;hɜ:rmiːz
hermit;2;hĕʹrmĭt;h 3:r m @ t;hɜ:rmət
hermitage;3;hĕʹrmĭtage;h 3:r m @ 4 @ dZ;hɜ:rməɾə?
hern;1;hĕrn;h 3:r n;hɜ:rn
hernia;3;hĕʹrnĭa;h 3:r n i: @;hɜ:rniːə
hero;2;hēʹro;h I r\ @U;hɪɹoʊ
heroine;3;heʹrȯine;h E r\ @U @ n;hɛɹoʊən
heroism;3;herȯʹiſm;h E r\ @U I z @ m;hɛɹoʊɪzəm
heron;2;hēʹron;h E r\ @ n;hɛɹən
herpes;2;hĕʹrpès;h 3:r p i: z;hɜ:rpiːz
herring;2;hĕʹrring;h E r\ i N;hɛɹiŋ
hesitation;5;hĕſĭtāʹtion;h E z @ t eI S @ n;hɛzət?ʃən
hesitate;3;hĕʹſĭtāte;h E z @ t eI t;hɛzət?t
hesper;2;hĕʹſp_e_r;h E s p 3:r;hɛspɜ:r
heterodox;4;hĕtĕrŏdox;h E 4 3:r @ d A k s;hɛɾɜ:rədɑks
hew;1;hew;h j u;hju
hexagon;3;hĕʹxăgon;h E k s @ g A n;hɛksəgɑn
hexagonal;4;hĕxăʹgŏnal;h E k s { g @ n @ l;hɛksægənəl
hiatus;3;hīāʹtus;h aI eI 4 @ s;h??ɾəs
hibernian;4;hĭbĕʹrnĭan;h aI b 3:r n i: @ n;h?bɜ:rniːən
hick;1;hĭck;h I k;hɪk
hide;1;hīde;h aI d;h?d
hideous;3;hĭdē_o_us;h I 4 i: @ s;hɪɾiːəs
hierarchical;5;hiėrăʹrc_h_ĭcal;h aI r\ A r\ k @ k @ l;h?ɹɑɹkəkəl
hierarchy;4;hiʹėrărc_h_y;h aI 3:r A r\ k i:;h?ɜ:rɑɹkiː
high;1;hī_gh_;h aI;h?
highness;2;hĭ_gh_neſs;h aI n @ s;h?nəs
hilarity;4;hĭlăʹrĭty;h i l E r\ @ 4 i:;hilɛɹəɾiː
hill;1;hĭll;h I l;hɪl
hilt;1;hĭlt;h I l t;hɪlt
hind;1;hīnd;h aI n d;h?nd
hinder;2;hĭnd_e_r;h I n d 3:r;hɪndɜ:r
hindrance;2;hĭʹndrănce;h I n d r\ @ n s;hɪndɹəns
hinge;1;hĭnge;h I n dZ;hɪn?
hint;1;hĭnt;h I n t;hɪnt
hips;1;hĭps;h I p s;hɪps
hippodrome;3;hĭʹppŏdrōme;h I p @ d r\ @U m;hɪpədɹoʊm
hire;1;hĭre;h aI 3:r;h?ɜ:r
hiss;1;hĭſs;h I s;hɪs
historian;4;hĭſtōʹrĭan;h i s t O: r\ i: @ n;histOːɹiːən
historical;4;hĭſtōʹrĭcal;h i s t O: r\ i k @ l;histOːɹikəl
history;3;hĭʹſtŏry;h I s t 3:r i:;hɪstɜ:riː
hit;1;hĭt;h I t;hɪt
hitch;1;hĭtch;h I tS;hɪ?
hither;2;hĭʹther;h I D 3:r;hɪðɜ:r
hive;1;hīve;h aI v;h?v
hoar;1;hoar;h O: r\;hOːɹ
hoarse;1;hoarſe;h O: r\ s;hOːɹs
hoary;2;hoaʹry;h O: r\ i:;hOːɹiː
hob;1;hŏb;h A b;hɑb
hobble;2;hŏbble;h A b @ l;hɑbəl
hobby;2;hŏʹbby;h A b i:;hɑbiː
hock;1;hock;h A k;hɑk
hodgepodge;2;hŏʹdg_e_pŏdge;h A dZ p A dZ;hɑ?pɑ?
hoe;1;hoe;h @U;hoʊ
hog;1;hŏg;h A g;hɑg
hoist;1;hoiſt;h OI s t;h?st
hold;1;hold;h @U l d;hoʊld
hole;1;hole;h @U l;hoʊl
holiness;3;hoʹlĭneſs;h @U l i: n @ s;hoʊliːnəs
holland;2;hŏʹllănd;h A l @ n d;hɑlənd
hollow;2;hŏʹllo_w_;h A l @U;hɑloʊ
holly;2;hŏʹlly;h A l i:;hɑliː
holocaust;3;hŏʹlŏcauſt;h A l @ k O: s t;hɑləkOːst
holy;2;hoʹly;h @U l i:;hoʊliː
homage;2;_h_ŏʹmage;A m @ dZ;ɑmə?
home;1;hōme;h @U m;hoʊm
homely;2;hōʹm_e_ly;h @U m l i:;hoʊmliː
homespun;2;hoʹm_e_ſpŭn;h @U m s p V n;hoʊmspʌn
homewards;2;hoʹm_e_wards;h @U m w 3:r d z;hoʊmwɜ:rdz
homicide;3;hŏʹmĭcīde;h A m @ s aI d;hɑməs?d
homily;3;hŏʹmĭly;h A m @ l i:;hɑməliː
homologous;4;hŏmŏʹlŏgous;h @ m A l @ g @ s;həmɑləgəs
hone;1;hōne;h @U n;hoʊn
honest;2;_h_ŏʹneſt;A n @ s t;ɑnəst
honesty;3;_h_ŏʹnĕſty;A n @ s t i:;ɑnəstiː
honey;2;hŏʹney;h V n i:;hʌniː
honour;2;_h_ŏʹno_u_r;A n 3:r;ɑnɜ:r
honourable;4;_h_ŏʹnŏ_u_rable.;A n 3:r @ b @ l;ɑnɜ:rəbəl
honours;2;hŏʹno_u_rs;A n 3:r z;ɑnɜ:rz
hood;1;hood;h U d;hʊd
hoodwink;2;hooʹdwink;h U d w I N k;hʊdwɪŋk
hoof;1;hoof;h u f;huf
hook;1;hook;h U k;hʊk
hoop;1;hoop;h u p;hup
hooper;2;hooʹp_e_r;h u p 3:r;hupɜ:r
hoot;1;hoot;h u t;hut
hop;1;hop;h A p;hɑp
hope;1;hōpe;h @U p;hoʊp
hopeful;2;hōʹp_e_ful;h @U p f @ l;hoʊpfəl
hopeless;2;hōʹp_e_leſs;h @U p l @ s;hoʊpləs
hopper;2;hŏʹpp_e_r;h A p 3:r;hɑpɜ:r
hopple;2;hŏʹpple;h A p @ l;hɑpəl
hoard;1;hoard;h O: r\ d;hOːɹd
horizon;3;horīʹzon;h 3:r aI z @ n;hɜ:r?zən
horizontal;4;horĭzŏʹntal;h O: r\ @ z A n t @ l;hOːɹəzɑntəl
horn;1;horn;h O: r\ n;hOːɹn
hornet;2;hŏʹrnet;h O: r\ n i t;hOːɹnit
horoscope;3;hōʹrŏſcōpe;h O: r\ @ s k @U p;hOːɹəskoʊp
horrible;3;hŏʹrrĭble;h O: r\ @ b @ l;hOːɹəbəl
horror;2;hŏʹrror;h O: r\ 3:r;hOːɹɜ:r
horse;1;hŏrſe;h O: r\ s;hOːɹs
horsemanship;3;hŏʹrſ_e_mănſhip;h O: r\ s m @ n S i p;hOːɹsmənʃip
hose;1;hoſe;h @U z;hoʊz
hospitable;4;hŏʹſpĭtable;h A s p I 4 @ b @ l;hɑspɪɾəbəl
hospital;3;hŏʹſpĭtal;h A s p I 4 @ l;hɑspɪɾəl
hospitality;5;hŏſpĭtăʹlĭty;h A s p @ t { l @ 4 i:;hɑspətæləɾiː
host;1;_h_ŏſt;h @U s t;hoʊst
hostage;2;_h_ŏʹſtage;h A s t i dZ;hɑsti?
hostess;2;_h_ŏʹſteſs;h @U s t @ s;hoʊstəs
hostile;2;hŏʹſtīle;h A s t @ l;hɑstəl
hostility;4;hŏſtĭʹlĭty;h A s t I l @ 4 i:;hɑstɪləɾiː
hostler;2;_h_ŏʹſtler;h A s l 3:r;hɑslɜ:r
hot;1;hot;h A t;hɑt
hovel;2;hŏʹvel;h V v @ l;hʌvəl
hover;2;hoʹver;h V v 3:r;hʌvɜ:r
hough;1;hough;h V f;hʌf
jacinth;2;jaʹcĭnth;dZ { s i n T;?æsinθ
jack;1;jăck;dZ { k;?æk
jackal;2;jaʹckal;dZ { k @ l;?ækəl
jacket;2;jăʹcket;dZ { k @ t;?ækət
jacobites;3;jăʹcŏbītes;dZ { k @ b aI t s;?ækəb?ts
jacobus;3;jacōʹbus;dZ @ k @U b @ s;?əkoʊbəs
jade;1;jāde;dZ eI d;??d
jagged;2;jăgged;dZ { g d;?ægd
jail;1;"jail;";dZ eI l;??l
jailer;2;jaiʹler;dZ eI l 3:r;??lɜ:r
jakes;1;jākes;dZ eI k s;??ks
jamb;1;jăm_b_;dZ { m;?æm
jangle;2;jăʹngle;dZ { N g @ l;?æŋgəl
jansenism;3;jăʹnsĕniſm;dZ { n s i n I z @ m;?ænsinɪzəm
jansenist;3;jăʹnsĕniſt;dZ { n s @ n @ s t;?ænsənəst
january;4;jăʹnūăry;dZ { n j u E r\ i:;?ænjuɛɹiː
japan;2;jăpăʹn;dZ @ p { n;?əpæn
japanese;3;jăpănēʹſe;dZ { p @ n i: z;?æpəniːz
jar;1;jăr;dZ A r\;?ɑɹ
jargon;2;jăʹrgon;dZ A r\ g @ n;?ɑɹgən
jasper;2;jăʹſp_e_r;dZ { s p 3:r;?æspɜ:r
javelin;3;jăʹvĕlin;dZ { v @ l @ n;?ævələn
jaundice;2;jauʹndĭce;dZ O: n d @ s;?Oːndəs
jaunt;1;jaunt;dZ O: n t;?Oːnt
jaws;1;jaws;dZ O: z;?Oːz
jay;1;jay;dZ eI;??
ibex;2;ĭʹbex;aI b E k s;?bɛks
ibis;2;īʹbis;aI b @ s;?bəs
ice;1;īce;aI s;?s
icicle;3;īʹcĭcle;aI s i k @ l;?sikəl
icy;2;īcy;aI s i:;?siː
idea;3;īdēʹā;aI d i: @;?diːə
ideal;3;īdėʹȧl;aI d i: l;?diːl
identical;4;īdĕʹntĭcal;aI d E n t i k @ l;?dɛntikəl
identity;3;īdĕʹntĭty;aI d E n t @ 4 i:;?dɛntəɾiː
idiom;3;ĭʹdĭom;I 4 i: @ m;ɪɾiːəm
idiot;3;ĭʹdĭot;I 4 i: @ t;ɪɾiːət
idle;2;īʹdle;aI 4 @ l;?ɾəl
idleness;3;īʹdl_e_neſs;aI 4 @ l n @ s;?ɾəlnəs
idol;2;īʹdol;aI 4 @ l;?ɾəl
idolatrous;4;īdŏʹlătrous;aI d A l @ t r\ @ s;?dɑlətɹəs
idolatry;4;īdŏʹlătry;aI d A l @ t r\ i:;?dɑlətɹiː
idolize;3;īʹdŏlīze;aI 4 @ l aI z;?ɾəl?z
jealous;2;jeaʹl_o_us;dZ E l @ s;?ɛləs
jealousy;3;jeaʹl_o_usy;dZ E l @ s i:;?ɛləsiː
jeer;1;jeer;dZ I r\;?ɪɹ
jehovah;3;jehōʹvā_h_;dZ @ h @U v @;?əhoʊvə
jelly;2;jĕʹlly;dZ E l i:;?ɛliː
jeopardy;3;je_o_ʹpărdy;dZ E p 3:r 4 i:;?ɛpɜ:rɾiː
jerk;1;jĕrk;dZ 3:r k;?ɜ:rk
jersey;2;jĕʹrſey;dZ 3:r z i:;?ɜ:rziː
jessamine;3;jĕʹſsămine;dZ E s @ m i n;?ɛsəmin
jest;1;jĕſt;dZ E s t;?ɛst
jesuits;3;jĕʹſūĭts;dZ E Z u i t s;?ɛʒuits
jet;1;jĕt;dZ E t;?ɛt
jewel;2;jeʹwel;dZ u @ l;?uəl
jewish;2;jeʹwiſh;dZ u i S;?uiʃ
jews;1;jews;dZ u z;?uz
igneous;3;iʹgne_o_us;I g n i: @ s;ɪgniːəs
ignition;4;ignĭʹtion;i g n I S @ n;ignɪʃən
ignominious;5;ignomĭʹnĭ_o_us;I g n @ m I n i: @ s;ɪgnəmɪniːəs
ignominy;4;ĭʹgnŏmĭny;I g n @U m I n i:;ɪgnoʊmɪniː
ignoramus;4;ignŏrāʹmus;I g n 3:r eI m @ s;ɪgnɜ:r?məs
ignorance;3;iʹgnŏrănce;I g n 3:r @ n s;ɪgnɜ:rəns
ignorant;3;iʹgnŏrănt;I g n 3:r @ n t;ɪgnɜ:rənt
jig;1;jig;dZ I g;?ɪg
jill;1;jĭll;dZ I l;?ɪl
jilt;1;jĭlt;dZ I l t;?ɪlt
jingle;2;jĭʹngle;dZ I N g @ l;?ɪŋgəl
ill;1;ill;I l;ɪl
illegal;3;illēʹgal;i l i: g @ l;iliːgəl
illegitimate;5;illĕgĭʹtĭmāte;I l i dZ I 4 @ m i t;ɪli?ɪɾəmit
illicit;3;illĭʹcĭt;i l I s @ t;ilɪsət
illimitable;5;illĭʹmĭtable;I l I m i 4 @ b @ l;ɪlɪmiɾəbəl
illiterate;4;illĭʹtĕrāte;i l I 4 3:r @ t;ilɪɾɜ:rət
illogical;4;illŏʹgĭcal;i l A dZ i k @ l;ilɑ?ikəl
illuminate;4;illūʹmĭnāte;i l u m i n i t;iluminit
illumination;6;illūmĭnāʹtion;i l u m @ n eI S @ n;ilumən?ʃən
illusion;4;illūʹſion;i l u Z @ n;iluʒən
illusive;3;illūʹſive;i l u s i v;ilusiv
illustrate;3;illŭʹſtrāte;I l @ s t r\ eI t;ɪləstɹ?t
illustration;5;illŭſtrāʹtion;I l @ s t r\ eI S @ n;ɪləstɹ?ʃən
illustrious;4;illŭʹſtrĭ_o_ūs;i l V s t r\ i: @ s;ilʌstɹiːəs
image;2;ĭʹmage;I m @ dZ;ɪmə?
imagery;3;ĭʹmāg_e_ry;I m @ dZ r\ i:;ɪmə?ɹiː
imaginable;5;ĭmāʹgĭnable;i m { dZ @ n @ b @ l;imæ?ənəbəl
imaginary;5;ĭmāʹgĭnăry;i m { dZ @ n E r\ i:;imæ?ənɛɹiː
imagination;6;ĭmāgĭnāʹtion;i m { dZ @ n eI S @ n;imæ?ən?ʃən
imagine;3;ĭmāʹgĭne;i m { dZ @ n;imæ?ən
iman;2;īʹman;aI m @ n;?mən
imbibe;2;imbīʹbe;i m b aI b;imb?b
imbue;2;imbūeʹ;i m b j u;imbju
imitable;4;ĭʹmĭtable;I m @ 4 @ b @ l;ɪməɾəbəl
imitate;3;ĭʹmĭtāte;I m @ t eI t;ɪmət?t
imitation;5;ĭmĭtāʹtion;I m @ t eI S @ n;ɪmət?ʃən
imitator;4;ĭmĭtāʹtor;I m @ t eI 4 3:r;ɪmət?ɾɜ:r
immaculate;4;immăʹcūlāte;i m { k j u l i t s;imækjulits
immanent;3;iʹmmănent;I m @ n @ n t;ɪmənənt
immanuel;4;immăʹnūĕl;I m @ n U l;ɪmənʊl
immaterial;5;immătēʹrĭal;I m @ t I r\ i: @ l;ɪmətɪɹiːəl
immature;3;immătūre;I m @ t j U r\;ɪmətjʊɹ
immaturity;5;immătūʹrĭty;I m @ tS U r\ i 4 i:;ɪmə?ʊɹiɾiː
immediate;4;immĕʹdĭate;i m i: 4 i: @ t;imiːɾiːət
immediately;5;immĕʹdĭat_e_ly;i m i: 4 i: @ t l i:;imiːɾiːətliː
immemorial;5;immĕmōʹrĭal;I m @ m O: r\ i: @ l;ɪməmOːɹiːəl
immense;2;immĕʹnſe;i m E n s;imɛns
immersion;4;immĕrʹſion;i m 3:r Z @ n;imɜ:rʒən
imminent;3;iʹmmĭnent;I m @ n @ n t;ɪmənənt
immobility;5;immŏbĭʹlĭty;I m @U b I l i 4 i:;ɪmoʊbɪliɾiː
immoral;3;immŏʹral;i m O: r\ @ l;imOːɹəl
immorality;5;immŏrăʹlĭty;I m 3:r { l i 4 i:;ɪmɜ:ræliɾiː
immortal;3;immŏʹrtal;i m O: r\ 4 @ l;imOːɹɾəl
immortality;5;immŏrtăʹlĭty;I m O: r\ t { l i 4 i:;ɪmOːɹtæliɾiː
immortalize;4;immŏʹrtălīze;i m O: r\ 4 @ l aI z;imOːɹɾəl?z
immunity;4;immūʹnĭty;i m j u n @ 4 i:;imjunəɾiː
immutable;4;immūʹtable;i m j u 4 @ b @ l;imjuɾəbəl
imp;1;imp;I m p;ɪmp
impair;2;impaiʹr;i m p E r\;impɛɹ
impale;2;impāʹle;i m p eI l;imp?l
impart;2;impăʹrt;i m p A r\ t;impɑɹt
impartial;4;impăʹrtial;i m p A r\ S @ l;impɑɹʃəl
impartiality;6;impărtiaʹlĭty;i m p A r\ S i: { l i 4 i:;impɑɹʃiːæliɾiː
impassable;4;impăʹſſable;i m p { s @ b @ l;impæsəbəl
impatience;4;impāʹtience;i m p eI S @ n s;imp?ʃəns
impatient;4;impāʹtient;i m p eI S @ n t;imp?ʃənt
impeach;2;impeaʹch;i m p i: tS;impiː?
impeachment;3;impeaʹchment;i m p i: tS m @ n t;impiː?mənt
impeccable;4;impĕʹccable;i m p E k @ b @ l;impɛkəbəl
impede;2;impēʹde;i m p i: d;impiːd
impediment;4;impĕʹdĭment;i m p E 4 @ m @ n t;impɛɾəmənt
impel;2;impĕʹl;i m p E l;impɛl
impend;2;impĕʹnd;i m p E n d;impɛnd
impending;3;impĕʹnding;i m p E n d i N;impɛndiŋ
impenetrable;5;impĕʹnĕtrable;i m p E n @ t r\ @ b @ l;impɛnətɹəbəl
imperative;4;impĕʹrătive;i m p E r\ @ 4 i v;impɛɹəɾiv
imperceptible;5;impĕrcĕʹptĭble;I m p 3:r s E p t i b @ l;ɪmpɜ:rsɛptibəl
imperfect;4;impĕʹrfect;i m p 3:r f i k t;impɜ:rfikt
imperfection;5;impĕrfĕʹction;I m p 3:r f E k S @ n;ɪmpɜ:rfɛkʃən
imperial;4;impēʹrĭal;i m p I r\ i: @ l;impɪɹiːəl
imperialist;5;impeʹrĭaliſt;i m p I r\ i: @ l i s t;impɪɹiːəlist
imperious;4;impeʹrĭ_o_us;i m p I r\ i: @ s;impɪɹiːəs
impersonal;4;impĕʹrsŏnal;i m p 3:r s @ n @ l;impɜ:rsənəl
impertinent;4;impĕʹrtĭnent;i m p 3:r t @ n @ n t;impɜ:rtənənt
impervious;4;impĕʹrvĭ_o_us;i m p 3:r v i: @ s;impɜ:rviːəs
impetuosity;6;impĕtūŏʹsĭty;i m p E tS w @ s @ t i:;impɛ?wəsətiː
impetuous;4;impĕʹtū_o_us;i m p E tS w @ s;impɛ?wəs
impetus;3;iʹmpĕtus;I m p @ 4 @ s;ɪmpəɾəs
implacable;4;implāʹcable;i m p l { k @ b @ l;implækəbəl
implant;3;implăʹnt;i m p l { n t;implænt
implements;4;iʹmplĕments;I m p l @ m @ n t s;ɪmpləmənts
implication;6;implĭcāʹtion;I m p l @ k eI S @ n;ɪmplək?ʃən
implicit;2;implĭʹcit;i m p l I s @ t;implɪsət
implore;2;implŏʹre;i m p l O: r\;implOːɹ
imply;2;implyʹ;i m p l aI;impl?
impolite;3;impŏlīʹte;i m p @ l aI t;impəl?t
impolitic;4;impŏʹlĭtic;i m p O: l I t I k;impOːlɪtɪk
import;2;iʹmport;i m p O: r\ t;impOːɹt
importance;3;impŏʹrtănce;i m p O: r\ t @ n s;impOːɹtəns
important;3;impŏʹrtant;i m p O: r\ t @ n t;impOːɹtənt
importation;5;impŏrtāʹtion;I m p O: r\ t eI S @ n;ɪmpOːɹt?ʃən
importunate;4;impŏʹrtūnāte;i m p O: r\ tS u n @ t;impOːɹ?unət
impose;2;impōʹſe;i m p @U z;impoʊz
imposition;5;impŏſĭʹtion;I m p @ z I S @ n;ɪmpəzɪʃən
impossible;4;impŏʹſſĭble;i m p A s @ b @ l;impɑsəbəl
impostor;3;impŏʹſtor;i m p O: s t 3:r;impOːstɜ:r
impotence;3;ĭʹmpŏtĕnce;I m p @ t @ n s;ɪmpətəns
impotent;3;iʹmpŏtent;I m p @ t @ n t;ɪmpətənt
impoverish;4;impŏʹvĕriſh;i m p A v r\ i S;impɑvɹiʃ
impoverishment;5;impŏʹverĭſhment;i m p A v r\ i S m @ n t;impɑvɹiʃmənt
impracticable;5;imprăʹctĭcable;i m p r\ { k t i k @ b @ l;impɹæktikəbəl
impregnable;4;imprĕʹgnable;i m p r\ E g n @ b @ l;impɹɛgnəbəl
impress;2;imprĕʹſs;i m p r\ E s;impɹɛs
impression;4;imprĕʹſſion;i m p r\ E S @ n;impɹɛʃən
imprimis;3;imprīʹmis;i m p r\ i: m i s;impɹiːmis
imprint;2;imprĭʹnt;i m p r\ I n t;impɹɪnt
imprison;3;imprĭʹſon;i m p r\ I z @ n;impɹɪzən
imprisonment;4;imprĭʹſŏnment;i m p r\ I z @ n m @ n t;impɹɪzənmənt
improbable;4;imprŏʹbable;i m p r\ A b @ b @ l;impɹɑbəbəl
improper;3;imprŏʹper.;i m p r\ A p 3:r;impɹɑpɜ:r
impropriety;5;imprŏprīʹĕty;I m p r\ @ p r\ aI @ 4 i:;ɪmpɹəpɹ?əɾiː
improve;2;improʹve;i m p r\ u v;impɹuv
improvement;3;improʹvement;i m p r\ u v m @ n t;impɹuvmənt
imprudence;3;imprūʹdĕnce;i m p r\ u d @ n s;impɹudəns
imprudent;3;imprūʹdent;i m p r\ u d @ n t;impɹudənt
impugn;2;impŭʹgn;i m p j u n;impjun
impulse;2;iʹmpŭlſe;I m p @ l s;ɪmpəls
impulsive;3;impŭʹlſive;i m p V l s i v;impʌlsiv
impunity;4;impūʹnĭty;i m p j u n i 4 i:;impjuniɾiː
impure;2;impūʹre;i m p j U r\;impjʊɹ
impurity;4;impūʹrĭty;i m p j U r\ @ 4 i:;impjʊɹəɾiː
imputation;5;impūtāʹtion;I m p j @ t eI S @ n;ɪmpjət?ʃən
impute;2;impūʹte;i m p j u t;impjut
inability;5;inabĭʹlĭty;I n @ b I l i 4 i:;ɪnəbɪliɾiː
inaccessible;5;inăccĕʹſſĭble;I n @ k s E s @ b @ l;ɪnəksɛsəbəl
inaction;4;inăʹction;i n { k S @ n;inækʃən
inactive;3;inăʹctĭve;i n { k t i v;inæktiv
inadequate;4;inăʹdĕquāte;i n { 4 @ k w @ t;inæɾəkwət
inadvertence;4;inădvĕʹrtence;I n @ d v 3:r t @ n s;ɪnədvɜ:rtəns
inalienable;6;inăʹlĭĕnable;i n eI l j @ n @ b @ l;in?ljənəbəl
inane;2;ināʹne;i n eI n;in?n
inanimate;4;inăʹnĭmāte;i n { n @ m @ t;inænəmət
inarticulate;5;inărtĭʹcŭlāte;i n A r\ t I k j @ l @ t;inɑɹtɪkjələt
inaugurate;4;inauʹgŭrāte;i n O: g j 3:r i t;inOːgjɜ:rit
inauguration;6;inaugŭrāʹtion;i n O: g j 3:r eI S @ n;inOːgjɜ:r?ʃən
inauspicious;5;inauſpĭʹcĭ_o_us;i n aU s p I S i s;in?spɪʃis
inborn;2;iʹnborn;I n b O: r\ n;ɪnbOːɹn
inca;2;iʹncā;I N k @;ɪŋkə
incantation;5;incăntāʹtion;i n k { n t eI S @ n;inkænt?ʃən
incapable;4;incāʹpable;i n k eI p @ b @ l;ink?pəbəl
incapacitate;5;incăpāʹcitāte;i n k @ p { s i t eI t;inkəpæsit?t
incapacity;5;incapāʹcĭty;i n k @ p { s @ 4 i:;inkəpæsəɾiː
incarnate;3;incăʹrnāte;i n k A r\ n @ t;inkɑɹnət
incarnation;5;incărnāʹtion;i n k A r\ n eI S @ n;inkɑɹn?ʃən
incendiary;5;incĕʹndĭăry;i n s E n d i: E r\ i:;insɛndiːɛɹiː
incense;2;iʹncĕnſe;i n s E n s;insɛns
incentive;3;incĕʹntĭve;i n s E n t i v;insɛntiv
incessant;3;incĕʹſsănt;i n s E s @ n t;insɛsənt
incest;2;incĕſt;I n s E s t;ɪnsɛst
incestuous;4;incĕʹſtū_o_us;i n s E s tS w @ s;insɛs?wəs
inch;1;inch;I n tS;ɪn?
incidence;3;incĭdĕnce;I n s @ d @ n s;ɪnsədəns
incident;3;iʹncĭdent;I n s @ d @ n t;ɪnsədənt
incinerate;4;incĭʹnĕrāte;i n s I n 3:r eI t;insɪnɜ:r?t
incision;4;incĭʹſion;i n s I Z @ n;insɪʒən
incite;2;incīʹte;i n s aI t;ins?t
incitement;3;incīʹt_e_ment;i n s aI t m @ n t;ins?tmənt
incivility;5;incĭvĭʹlĭty;i n s i v I l i 4 i:;insivɪliɾiː
inclination;5;inclĭnāʹtion;I n k l @ n eI S @ n;ɪnklən?ʃən
incline;2;inclīʹne;i n k l aI n;inkl?n
inclosure;3;inclōʹsūre;i n k l @U Z 3:r;inkloʊʒɜ:r
include;2;inclūʹde;i n k l u d;inklud
inclusive;3;inclūʹſive;i n k l u s i v;inklusiv
incognito;4;incŏʹgnĭto;i n k O: g n i: 4 @U;inkOːgniːɾoʊ
incoherent;4;incohēʹrent;i n k @U h I r\ @ n t;inkoʊhɪɹənt
income;2;iʹncŏme;I n k V m;ɪnkʌm
incomparable;5;incŏʹmpărable;i n k A m p 3:r @ b @ l;inkɑmpɜ:rəbəl
incompatible;5;incŏmpaʹtĭble;i n k @ m p { 4 @ b @ l;inkəmpæɾəbəl
incompetency;5;incŏʹmpĕtency;i n k A m p @ t @ n s i:;inkɑmpətənsiː
incompetent;4;incŏʹmpĕtent;i n k A m p @ t @ n t;inkɑmpətənt
incomplete;3;incŏmplēʹte;i n k @ m p l i: t;inkəmpliːt
incomprehensible;6;incŏmprĕhĕʹnsĭble;i N k A m p r\ @ h E n s i b @ l;iŋkɑmpɹəhɛnsibəl
inconceivable;5;incŏnceiʹvable;I n k @ n s i: v @ b @ l;ɪnkənsiːvəbəl
incongruity;5;incŏngrūʹĭty;I N k O: N r\ u i 4 i:;ɪŋkOːŋɹuiɾiː
incongruous;4;incŏʹngrū_o_us;i N k O: N r\ u @ s;iŋkOːŋɹuəs
inconsiderable;6;incŏnsĭʹdĕrable;I n k @ n s I 4 3:r @ b @ l;ɪnkənsɪɾɜ:rəbəl
inconsistent;4;incŏnsĭʹſtent;I n k @ n s I s t @ n t;ɪnkənsɪstənt
inconsolable;5;incŏnſōʹlable;I n k @ n s A l @ b @ l;ɪnkənsɑləbəl
inconstancy;4;incŏʹnſtăncy;i n k A n s t @ n s i:;inkɑnstənsiː
